iter	TotalF1	MultiClass
0	1	1.010397773
1	0.9845504356	0.942741787
2	0.9890343214	0.874955647
3	0.9910642992	0.8180333017
4	0.9955428247	0.7645070677
5	0.9926944403	0.7175090869
6	0.9955428247	0.6746724079
7	0.9931010403	0.6353891525
8	0.9931005606	0.597574633
9	0.9931005606	0.5671618763
10	0.9935076276	0.5344917051
11	0.9955428247	0.5031664627
12	0.9963568562	0.4756393679
13	0.9951358006	0.4494850548
14	0.9963568562	0.4253445182
15	0.9979760777	0.4012144606
16	0.9995952201	0.3796413887
17	1	0.3594385689
18	1	0.340434164
19	1	0.323308851
20	1	0.3077477316
21	1	0.2936351939
22	1	0.2791548149
23	1	0.2645325171
24	1	0.2521106295
25	1	0.2405260522
26	1	0.2296998759
27	1	0.2192398533
28	1	0.2092827715
29	1	0.1991660567
30	1	0.1906389554
31	1	0.1822952039
32	1	0.1734975405
33	1	0.1657022882
34	1	0.1592666566
35	1	0.1533621265
36	1	0.1473936264
37	1	0.1413994998
38	1	0.1364761654
39	1	0.1305138274
40	1	0.1258807748
41	1	0.1204591613
42	1	0.1155195015
43	1	0.1108400876
44	1	0.1061582611
45	1	0.1017553654
46	1	0.09758081411
47	1	0.09369089931
48	1	0.09010656222
49	1	0.08626422389
50	1	0.08283896712
51	1	0.07982935314
52	1	0.07668751776
53	1	0.07389873106
54	1	0.07113777596
55	1	0.0689847593
56	1	0.06667111528
57	1	0.06429813371
58	1	0.06195217661
59	1	0.05992990842
60	1	0.05777751499
61	1	0.05592754732
62	1	0.05385574215
63	1	0.05187083368
64	1	0.04986462565
65	1	0.04834665298
66	1	0.04672430642
67	1	0.04515877276
68	1	0.04353948945
69	1	0.04206239192
70	1	0.04072738498
71	1	0.03925364655
72	1	0.03776879503
73	1	0.03639823937
74	1	0.03511991845
75	1	0.0340194839
76	1	0.03297052104
77	1	0.031787057
78	1	0.03059557879
79	1	0.0297910788
80	1	0.02882285164
81	1	0.02774113169
82	1	0.02703646928
83	1	0.02620999527
84	1	0.02543552261
85	1	0.02468597143
86	1	0.02401497769
87	1	0.02320236181
88	1	0.02256656917
89	1	0.02199022979
90	1	0.02143675016
91	1	0.02092436284
92	1	0.02029716695
93	1	0.01976952098
94	1	0.01914489766
95	1	0.01857828028
96	1	0.01817318287
97	1	0.01776383384
98	1	0.01730105223
99	1	0.01691631779
100	1	0.01651935631
101	1	0.01609867729
102	1	0.01566826494
103	1	0.01537862491
104	1	0.01498360072
105	1	0.01459465716
106	1	0.0142583746
107	1	0.01391708232
108	1	0.01359301636
109	1	0.01330140689
110	1	0.01299143217
111	1	0.01271407678
112	1	0.0124146584
113	1	0.01218952083
114	1	0.01192638747
115	1	0.01169596916
116	1	0.01143353691
117	1	0.01115925817
118	1	0.01090818836
119	1	0.01062230338
120	1	0.01044782064
121	1	0.01024016613
122	1	0.01002747426
123	1	0.009818222663
124	1	0.009633946721
125	1	0.009393289846
126	1	0.009242404757
127	1	0.009034398297
128	1	0.00888960914
129	1	0.008697491534
130	1	0.008509112739
131	1	0.008375058587
132	1	0.008207870407
133	1	0.008116803638
134	1	0.007949576815
135	1	0.007784573932
136	1	0.007623829805
137	1	0.007495534747
138	1	0.007332402714
139	1	0.007194361817
140	1	0.007054782541
141	1	0.006943640389
142	1	0.006836118937
143	1	0.006717742075
144	1	0.006634104067
145	1	0.006559502531
146	1	0.006489062879
147	1	0.00637922523
148	1	0.006279503191
149	1	0.006163930169
150	1	0.006061332834
151	1	0.005961762541
152	1	0.00586638942
153	1	0.005759819303
154	1	0.005657696075
155	1	0.005585342283
156	1	0.005505820938
157	1	0.005430777773
158	1	0.005349343414
159	1	0.00528221893
160	1	0.005210151454
161	1	0.005128819059
162	1	0.005049207276
163	1	0.004966187411
164	1	0.004888300199
165	1	0.004811546011
166	1	0.004752016564
167	1	0.004693268767
168	1	0.00461986933
169	1	0.004559173633
170	1	0.004505431635
171	1	0.004437605863
172	1	0.004376339116
173	1	0.004316202291
174	1	0.004256156276
175	1	0.004195092073
176	1	0.004139926438
177	1	0.00408201625
178	1	0.004031303619
179	1	0.003978699128
180	1	0.003924945619
181	1	0.00387500637
182	1	0.003827554294
183	1	0.003790495995
184	1	0.003746556939
185	1	0.003699186787
186	1	0.003653122267
187	1	0.003608422163
188	1	0.003567227183
189	1	0.003525714744
190	1	0.003488701816
191	1	0.003445957995
192	1	0.003408008535
193	1	0.003368079984
194	1	0.00332881592
195	1	0.003290035204
196	1	0.003255601391
197	1	0.003220933056
198	1	0.003189658744
199	1	0.00315767906
200	1	0.003125649846
201	1	0.00309457102
202	1	0.003063782469
203	1	0.003033603421
204	1	0.003004016561
205	1	0.002975261999
206	1	0.002946797843
207	1	0.002919086978
208	1	0.002891671111
209	1	0.002864216188
210	1	0.002837818715
211	1	0.002815779901
212	1	0.00279458013
213	1	0.002767240946
214	1	0.002742548111
215	1	0.002718298912
216	1	0.002693991794
217	1	0.002670139215
218	1	0.002647154063
219	1	0.002624695873
220	1	0.002605785801
221	1	0.002583874331
222	1	0.002561922601
223	1	0.00254088263
224	1	0.002520045678
225	1	0.002499555298
226	1	0.002479024123
227	1	0.00245920152
228	1	0.002439800872
229	1	0.002420955063
230	1	0.002402158639
231	1	0.002383663719
232	1	0.002365001447
233	1	0.002348813794
234	1	0.002331143876
235	1	0.002313749251
236	1	0.00229617191
237	1	0.002279131207
238	1	0.002262509311
239	1	0.002248815126
240	1	0.00223263996
241	1	0.002216706547
242	1	0.002201009551
243	1	0.00218554379
244	1	0.002172409773
245	1	0.002156906728
246	1	0.002142064762
247	1	0.002127006875
248	1	0.002112175302
249	1	0.002097731736
250	1	0.002083491083
251	1	0.002069276648
252	1	0.002055620929
253	1	0.002043299553
254	1	0.002029796821
255	1	0.002016657806
256	1	0.002003696605
257	1	0.001990558445
258	1	0.001977939264
259	1	0.001965287982
260	1	0.00195280351
261	1	0.001939724237
262	1	0.001927431321
263	1	0.001915604766
264	1	0.001905474826
265	1	0.001893744831
266	1	0.001882033392
267	1	0.001870597062
268	1	0.001860943784
269	1	0.001849927146
270	1	0.001838759388
271	1	0.001829435697
272	1	0.001817958173
273	1	0.001808846751
274	1	0.001798522076
275	1	0.001788243053
276	1	0.00177808754
277	1	0.001767787264
278	1	0.001757869662
279	1	0.001747812437
280	1	0.001737350196
281	1	0.001727018099
282	1	0.001718795316
283	1	0.001710654143
284	1	0.001702593157
285	1	0.00169322941
286	1	0.001683911116
287	1	0.001674205522
288	1	0.001665107682
289	1	0.001656116945
290	1	0.001647231377
291	1	0.001638629669
292	1	0.001630122611
293	1	0.001621547415
294	1	0.001613221265
295	1	0.001604985263
296	1	0.001596837943
297	1	0.001588587078
298	1	0.00158061057
299	1	0.001573747943
300	1	0.001565743553
301	1	0.001557839804
302	1	0.001550172028
303	1	0.001542413908
304	1	0.001534902003
305	1	0.001528403657
306	1	0.001521962918
307	1	0.0015144953
308	1	0.001508285167
309	1	0.001501109124
310	1	0.001494927772
311	1	0.001488769141
312	1	0.001482663656
313	1	0.001475734385
314	1	0.001468873627
315	1	0.001461918243
316	1	0.001455188971
317	1	0.001448525261
318	1	0.001441926147
319	1	0.001435213634
320	1	0.001428739294
321	1	0.001422326795
322	1	0.001415975245
323	1	0.00140968377
324	1	0.001404142226
325	1	0.001398723542
326	1	0.001392588112
327	1	0.001386330371
328	1	0.001380306859
329	1	0.00137416441
330	1	0.001368249715
331	1	0.001362388983
332	1	0.001356409473
333	1	0.001350652734
334	1	0.001344947801
335	1	0.00133929397
336	1	0.001333690547
337	1	0.001328136851
338	1	0.001322632215
339	1	0.001317175981
340	1	0.001311767505
341	1	0.001306406154
342	1	0.001301730253
343	1	0.001296454326
344	1	0.00129122379
345	1	0.001286648227
346	1	0.00128150041
347	1	0.001276209476
348	1	0.001271147713
349	1	0.001266128586
350	1	0.001261725543
351	1	0.001256782329
352	1	0.0012524614
353	1	0.001247411876
354	1	0.00124315562
355	1	0.001238361212
356	1	0.001233325713
357	1	0.001228995087
358	1	0.001224861316
359	1	0.001220397207
360	1	0.001215783142
361	1	0.001212170729
362	1	0.00120762092
363	1	0.001203107441
364	1	0.001198629852
365	1	0.00119418772
366	1	0.001189780616
367	1	0.00118540812
368	1	0.00118106982
369	1	0.001176765309
370	1	0.001172494185
371	1	0.001168256055
372	1	0.001164050531
373	1	0.001159877231
374	1	0.001156214626
375	1	0.001152576263
376	1	0.001148961894
377	1	0.0011449001
378	1	0.001140868881
379	1	0.001137187911
380	1	0.001133673169
381	1	0.001129724221
382	1	0.00112580457
383	1	0.001121913887
384	1	0.001118051844
385	1	0.001114336709
386	1	0.001110528434
387	1	0.001107048786
388	1	0.001103095291
389	1	0.001099366195
390	1	0.001095468284
391	1	0.00109179243
392	1	0.001088142862
393	1	0.001084933924
394	1	0.001081332523
395	1	0.001077756605
396	1	0.001074205895
397	1	0.001070680121
398	1	0.001067179015
399	1	0.001063507921
400	1	0.001060055237
401	1	0.001057011438
402	1	0.001053602855
403	1	0.001050597471
404	1	0.001047232138
405	1	0.001043889789
406	1	0.001040945936
407	1	0.001037728908
408	1	0.001034762584
409	1	0.001031915904
410	1	0.001028672768
411	1	0.001025451378
412	1	0.001022060671
413	1	0.001018882055
414	1	0.001016075317
415	1	0.00101293565
416	1	0.00100981668
417	1	0.001006718199
418	1	0.001003640001
419	1	0.001000581884
420	1	0.0009975436461
421	1	0.0009945250907
422	1	0.0009915260227
423	1	0.0009886114488
424	1	0.0009856492664
425	1	0.0009827060251
426	1	0.0009795863408
427	1	0.0009766813598
428	1	0.0009737947625
429	1	0.0009711359422
430	1	0.0009686036091
431	1	0.0009657663831
432	1	0.0009632525698
433	1	0.0009604481541
434	1	0.0009576611648
435	1	0.0009548914362
436	1	0.0009521388045
437	1	0.0009497099346
438	1	0.0009469887567
439	1	0.0009445749401
440	1	0.0009418845638
441	1	0.000939210545
442	1	0.0009372878756
443	1	0.0009346408531
444	1	0.0009318294546
445	1	0.0009292150304
446	1	0.0009266162665
447	1	0.0009240330192
448	1	0.000921277817
449	1	0.0009189051432
450	1	0.0009163661735
451	1	0.0009143339539
452	1	0.0009120880683
453	1	0.0009095879982
454	1	0.0009073817696
455	1	0.0009046402744
456	1	0.0009021824684
457	1	0.0008997389214
458	1	0.0008975659684
459	1	0.0008951486044
460	1	0.0008927451427
461	1	0.0008901889842
462	1	0.0008878136909
463	1	0.0008856997579
464	1	0.0008831675964
465	1	0.0008808308647
466	1	0.0008785073331
467	1	0.0008761968874
468	1	0.0008738994145
469	1	0.0008716148027
470	1	0.0008693429415
471	1	0.0008670837219
472	1	0.0008648370359
473	1	0.0008624454343
474	1	0.0008602241662
475	1	0.00085801511
476	1	0.0008560442751
477	1	0.0008538576907
478	1	0.0008516830282
479	1	0.0008497421981
480	1	0.0008475894784
481	1	0.0008451313955
482	1	0.0008432216013
483	1	0.0008411030917
484	1	0.000838995946
485	1	0.0008372978193
486	1	0.0008354245196
487	1	0.000833346762
488	1	0.0008312800385
489	1	0.0008292242593
490	1	0.0008271793353
491	1	0.0008251451785
492	1	0.0008231217019
493	1	0.0008211088193
494	1	0.0008194841194
495	1	0.0008174897137
496	1	0.0008155056716
497	1	0.0008135319104
498	1	0.0008115683483
499	1	0.0008095195508
